,subject-id,text,SCORES,Trust,Trust_12,gender,Filename,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,num_count,Duration,Min_Pitch,Max_Pitch,Mean_Pitch,SD_Pitch,Median_Pitch,MAS_F0,VCD2TOT_Frames,Min_Intensity,Max_Intensity,Mean_Intensity,SD_Intensity,Median_Intensity,Jitter,Shimmer,HNR,Speaking_Rate,lexicon_count,freq_long_word,freq_complex_word,reading_ease,Polysyllable_count,sent_count,fernandez_huertta,syble,gunning,inse,difficult,dale,automated,coleman,smog,kincaid,flesch,Tu,TV,Discrep,Humanos,Arriba,Placer,cuerpo,Sentir,Emoneg,Tristeza
0,0,"qué significa 
 dromomanía ",3,FALSE,TRUE,M,0-1-9-0.wav,4.64399093,97.59131463,572.3571813,160.0554503,130.3416776,111.5063004,339.3487039,0.383947939,43.37001491,89.1858635,80.04603627,13.76539319,69.206661,0.025397349,0.065955648,11.47335978,0.645996094,3,0.1207929,-0.4320964,0.3357967,-0.6849479,0.3838411,-0.7391483,-0.9491527,0.1352333,1.016964,1.5205648,1.5283049,0.5818618,1.8067106,-0.2740549,-1.4810905,-0.3370853,-0.976734768,3,0.666666667,14.31,-50.02,2,1,23.8,9,27.87,2.5,2,14.31,16.2,18.92,0,21,-50.02,0,0,0,0,0,0,0,0,0,0
1,0,"capital de qué país es la ciudad 
 roma ",3,FALSE,TRUE,M,0-1-8-0.wav,5.387029478,80.28020883,591.7332832,128.35534,78.01588533,111.043323,634.1701115,0.338317757,39.73729245,88.37344633,80.22002437,13.88355901,63.94979543,0.032892475,0.075210839,10.38694933,1.485048491,8,0.5596315,-0.7957054,0.478705,-1.0898316,-0.4959824,-0.7443214,-0.3596675,-0.214935,0.2633845,1.4224841,1.5481273,0.6102582,1.1720693,0.444544,-1.2421047,-0.7145892,0.070475042,8,0.125,7.98,46.44,1,1,90.7,14,3.2,4,2,7.98,0.8,2.86,0,8.8,46.44,0,0,0,0,0,0,0,0,0,0
2,0,"qué significa la palabra 
 amover ",3,FALSE,TRUE,M,0-1-18-0.wav,3.808072562,85.60950369,547.4981667,119.1726126,59.4026863,105.5828596,566.9801636,0.387267905,40.87658456,88.3747663,80.15681401,15.97802674,65.65050984,0.020928621,0.076068112,10.40245537,1.313000191,5,-0.3729004,-0.6837668,0.1524491,-1.2071163,-0.8089509,-0.8053337,-0.4940115,0.1607109,0.4997217,1.4226435,1.5409257,1.11358,1.3773901,-0.7024964,-1.2199683,-0.7092012,-0.144256086,5,0.4,10.2,32.56,1,1,81.8,10,10,2.5,2,10.2,7.4,10.76,0,10,32.56,0,0,0,0,0,0,0,0,0,0
3,0,en qué ciudad se instaló el primer semáforo del mundo ,3,FALSE,TRUE,M,0-1-16-0.wav,4.458231293,87.52538817,595.3247173,130.0748281,93.37811075,105.5364262,1252.181438,0.443438914,44.06187239,88.97548024,81.13642308,13.86536588,72.68671534,0.030048297,0.080317023,9.286311837,2.243041992,10,0.0110833,-0.6435249,0.5051936,-1.0678698,-0.2376767,-0.8058525,0.8760247,0.59177,1.1604844,1.4951659,1.652532,0.6058862,2.2268442,0.1718571,-1.1102538,-1.0970367,1.016516354,10,0.2,10.45,69.79,0,1,106.7,15,4,4,4,10.45,4.3,6.76,0,6,69.79,0,0,0,0,0,0,0,0,0,0
4,0,celsius ,3,FALSE,TRUE,M,0-1-2-1.wav,2.693514739,90.13232725,598.1710656,234.3922569,194.2307795,120.4279122,1729.939278,0.131578947,42.63002153,88.0825633,76.08830322,12.11713998,55.42935773,0.047796387,0.084552489,6.113640274,0.371262123,1,-1.0311582,-0.5887677,0.5261868,0.2645049,1.458094,-0.6394629,1.8312849,-1.8014588,0.8634583,1.3873667,1.0774027,0.1857698,0.1434296,1.8734638,-1.0008864,-2.1994707,-1.319626476,1,1,19.48,-47.99,0,1,25.8,3,0.4,-0.5,1,19.48,12,-4.81,0,20.2,-47.99,0,0,0,0,0,0,0,0,0,0
5,0,"cuál es la temperatura de fundición del aluminio 
 en grados centígrados ",3,FALSE,TRUE,M,0-1-2-0.wav,5.665668934,88.36269423,599.3977157,199.7618727,180.9602687,108.5867326,907.0209515,0.515097691,44.60138488,89.79559729,81.08765596,12.48474972,76.81068875,0.03711409,0.107493522,9.989915869,1.941518315,11,0.7241959,-0.6259378,0.535234,-0.1778051,1.2349592,-0.77177,0.1858883,1.141683,1.272402,1.5941761,1.646976,0.2741101,2.7247157,0.8492934,-0.4085073,-0.8525496,0.64018878,11,0.363636364,11.36,26.47,2,1,75.6,22,11.67,6.5,5,11.36,10.2,13.73,0,12.3,26.47,0,0,0,0,0,0,0,0,0,0
6,0,cuántos días tiene la semana ,3,FALSE,TRUE,M,0-1-14-0.wav,3.900952381,93.23940165,543.8928112,130.5978118,80.91357414,114.167156,828.7620279,0.351421189,42.14554209,88.41970932,79.64624497,14.1832105,65.67388822,0.025523238,0.074051861,10.04061464,1.281738281,5,-0.3180456,-0.5235056,0.1258579,-1.0611901,-0.4472596,-0.7094173,0.0294123,-0.1143786,0.7629568,1.4280693,1.4827569,0.6822675,1.3802125,-0.2619853,-1.2720316,-0.8349329,-0.183273647,5,0.2,10.2,49.48,1,1,93.8,9,10,2.5,2,10.2,3.7,6.12,0,7.6,49.48,0,0,0,0,0,0,0,0,0,0
7,0,"a qué distancia está bariloche 
 de 
 la ciudad autónoma de buenos aires 
 en kilómetros ",3,FALSE,TRUE,M,0-1-10-0.wav,7.151746032,87.43337765,589.8602631,155.2265007,124.9437263,107.6172361,679.4562036,0.411516854,42.47654779,88.57995202,80.26860443,13.29595447,68.97545845,0.032367871,0.087537718,9.461835364,1.95756392,14,1.601873,-0.6454575,0.4648905,-0.7466248,0.2930782,-0.7826027,-0.2691196,0.3467985,0.8316214,1.4474149,1.5536619,0.4690509,1.7787984,0.3942474,-0.9238023,-1.0360461,0.660215081,14,0.285714286,11.1,40.35,1,1,84.6,25,8.46,7,6,11.1,9.8,11.94,0,11.1,40.35,0,0,0,0,0,0,0,0,0,0
8,0,"qué significa la palabra 
 orate ",3,FALSE,TRUE,M,0-1-4-0.wav,7.151746032,90.98818346,607.3087489,145.301195,98.19705758,119.6534227,488.9417101,0.223314607,39.93629317,88.38936823,78.69209354,15.22888649,53.5426322,0.043131883,0.071294913,8.303851488,0.699129972,5,1.601873,-0.570791,0.5935818,-0.8733939,-0.1566493,-0.6481167,-0.6500467,-1.0974748,0.3046657,1.4244063,1.374051,0.933554,-0.0843476,1.4262523,-1.343221,-1.4384202,-0.910419103,5,0.4,10.2,32.56,1,1,81.8,10,10,2.5,2,10.2,6.5,9.6,0,10,32.56,0,0,0,0,0,0,0,0,0,0
9,0,cuáles son los cuatro puntos cardinales ,3,FALSE,TRUE,M,0-1-6-0.wav,4.458231293,89.68344694,603.5270061,158.8999318,127.4378936,115.7615773,909.4060077,0.371040724,45.10956103,89.45176081,80.52142175,13.0285676,70.10177146,0.032733454,0.073081606,8.66288922,1.345825195,6,0.0110833,-0.5981962,0.5656895,-0.6997066,0.3350159,-0.6916021,0.1906571,0.0361827,1.3778191,1.5526658,1.5824653,0.4047951,1.9147738,0.4292977,-1.2970853,-1.3136624,-0.103287647,6,0.166666667,11.83,31.55,2,1,80.7,12,15.73,4,3,11.83,8.3,12.05,0,10.4,31.55,0,0,0,0,0,0,0,0,0,0
